obs0,obs1,obs2,obs3,obs4,action
0.5008333325386047,0.5083333253860474,0.8737499713897705,0.5,0.5833333134651184,0
0.5024999976158142,0.5166666507720947,0.8725000023841858,0.5,0.5833333134651184,0
0.5049999952316284,0.5249999761581421,0.8712499737739563,0.5,0.5833333134651184,0
0.5083333253860474,0.5333333611488342,0.8700000047683716,0.5,0.5833333134651184,0
0.512499988079071,0.5416666865348816,0.8687499761581421,0.5,0.5833333134651184,0
0.5174999833106995,0.550000011920929,0.8675000071525574,0.5,0.5833333134651184,0
0.5233333110809326,0.5583333373069763,0.8662499785423279,0.5,0.5833333134651184,0
0.5299999713897705,0.5666666626930237,0.8650000095367432,0.5,0.5833333134651184,0
0.5375000238418579,0.574999988079071,0.8637499809265137,0.5,0.5833333134651184,0
0.5458333492279053,0.5833333134651184,0.862500011920929,0.5,0.5833333134651184,0
0.5550000071525574,0.5916666388511658,0.8612499833106995,0.5,0.5833333134651184,0
0.5649999976158142,0.6000000238418579,0.8600000143051147,0.5,0.5833333134651184,0
0.5758333206176758,0.6083333492279053,0.8587499856948853,0.5,0.5833333134651184,0
0.5874999761581421,0.6166666746139526,0.8575000166893005,0.5,0.5833333134651184,0
0.6000000238418579,0.625,0.856249988079071,0.5,0.5833333134651184,0
0.6133333444595337,0.6333333253860474,0.8550000190734863,0.5,0.5833333134651184,0
0.6274999976158142,0.6416666507720947,0.8537499904632568,0.5,0.5833333134651184,0
0.6116666793823242,0.34166666865348816,0.8525000214576721,0.5,0.5833333134651184,1
0.596666693687439,0.3499999940395355,0.8512499928474426,0.5,0.5833333134651184,0
0.5824999809265137,0.3583333194255829,0.8500000238418579,0.5,0.5833333134651184,0
0.5691666603088379,0.36666667461395264,0.8487499952316284,0.5,0.5833333134651184,0
0.5566666722297668,0.375,0.8475000262260437,0.5,0.5833333134651184,0
0.5450000166893005,0.38333332538604736,0.8462499976158142,0.5,0.5833333134651184,0
0.534166693687439,0.3916666805744171,0.8450000286102295,0.5,0.5833333134651184,0
0.5241666436195374,0.4000000059604645,0.84375,0.5,0.5833333134651184,0
0.5149999856948853,0.40833333134651184,0.8424999713897705,0.5,0.5833333134651184,0
0.5066666603088379,0.4166666567325592,0.8412500023841858,0.5,0.5833333134651184,0
0.49916666746139526,0.42500001192092896,0.8399999737739563,0.5,0.5833333134651184,0
0.4925000071525574,0.4333333373069763,0.8387500047683716,0.5,0.5833333134651184,0
0.4866666793823242,0.4416666626930237,0.8374999761581421,0.5,0.5833333134651184,0
0.4816666543483734,0.44999998807907104,0.8362500071525574,0.5,0.5833333134651184,0
0.47749999165534973,0.4583333432674408,0.8349999785423279,0.5,0.5833333134651184,0
0.4741666615009308,0.46666666865348816,0.8337500095367432,0.5,0.5833333134651184,0
0.4716666638851166,0.4749999940395355,0.8324999809265137,0.5,0.5833333134651184,0
0.4699999988079071,0.4833333194255829,0.831250011920929,0.5,0.5833333134651184,0
0.46916666626930237,0.49166667461395264,0.8299999833106995,0.5,0.5833333134651184,0
0.46916666626930237,0.5,0.8287500143051147,0.5,0.5833333134651184,0
0.4699999988079071,0.5083333253860474,0.8274999856948853,0.5,0.5833333134651184,0
0.4716666638851166,0.5166666507720947,0.8262500166893005,0.5,0.5833333134651184,0
0.4741666615009308,0.5249999761581421,0.824999988079071,0.5,0.5833333134651184,0
0.47749999165534973,0.5333333611488342,0.8237500190734863,0.5,0.5833333134651184,0
0.4816666543483734,0.5416666865348816,0.8224999904632568,0.5,0.5833333134651184,0
0.4866666793823242,0.550000011920929,0.8212500214576721,0.5,0.5833333134651184,0
0.4925000071525574,0.5583333373069763,0.8199999928474426,0.5,0.5833333134651184,0
0.476666659116745,0.34166666865348816,0.8187500238418579,0.5,0.5833333134651184,1
0.46166667342185974,0.3499999940395355,0.8174999952316284,0.5,0.5833333134651184,0
0.44749999046325684,0.3583333194255829,0.8162500262260437,0.5,0.5833333134651184,0
0.43416666984558105,0.36666667461395264,0.8149999976158142,0.5,0.5833333134651184,0
0.4216666519641876,0.375,0.8137500286102295,0.5,0.5833333134651184,0
0.4099999964237213,0.38333332538604736,0.8125,0.5,0.5833333134651184,0
0.39916667342185974,0.3916666805744171,0.8112499713897705,0.5,0.5833333134651184,0
0.3891666531562805,0.4000000059604645,0.8100000023841858,0.5,0.5833333134651184,0
0.3799999952316284,0.40833333134651184,0.8087499737739563,0.5,0.5833333134651184,0
0.37166666984558105,0.4166666567325592,0.8075000047683716,0.5,0.5833333134651184,0
0.3641666769981384,0.42500001192092896,0.8062499761581421,0.5,0.5833333134651184,0
0.35749998688697815,0.4333333373069763,0.8050000071525574,0.5,0.5833333134651184,0
0.351666659116745,0.4416666626930237,0.8037499785423279,0.5,0.5833333134651184,0
0.3466666638851166,0.44999998807907104,0.8025000095367432,0.5,0.5833333134651184,0
0.3425000011920929,0.4583333432674408,0.8012499809265137,0.5,0.5833333134651184,0
0.33916667103767395,0.46666666865348816,0.800000011920929,0.5,0.5833333134651184,0
0.33666667342185974,0.4749999940395355,0.7987499833106995,0.5,0.5833333134651184,0
0.33500000834465027,0.4833333194255829,0.7975000143051147,0.5,0.5833333134651184,0
0.33416667580604553,0.49166667461395264,0.7962499856948853,0.5,0.5833333134651184,0
0.33416667580604553,0.5,0.7950000166893005,0.5,0.5833333134651184,0
0.33500000834465027,0.5083333253860474,0.793749988079071,0.5,0.5833333134651184,0
